"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrezid"
"24147",87.0523807106533,2.29070505885354,0.252418983475231,1.72018177610282e-21,6.68261950319677e-19,"FJX1","24147"
"633",1318.05645965928,2.87424541763194,0.331153719576255,2.06428236483478e-21,7.88792748228426e-19,"BGN","633"
"57167",90.5945784209762,3.17508993071786,0.362883442019343,2.18817789448187e-21,8.22649008749643e-19,"SALL4","57167"
"5570",929.646962976875,-2.57768243393653,0.295633146703153,2.4938551911841e-21,9.22686835735083e-19,"PKIB","5570"
"3576",16084.5165613763,4.52271758813893,0.568595317862938,3.37304398814482e-21,1.22847316124481e-18,"CXCL8","3576"
"105376567",216.87812059336,-2.93842097670231,0.340759553866499,3.43034478962045e-21,1.23012164155789e-18,"LOC105376567","105376567"
"7146",170.363749713839,-2.6466024803758,0.303258730115931,3.55020219910076e-21,1.25381307664909e-18,"TNXA","7146"
"8839",99.4570316890923,-3.43645650570218,0.40196638587517,4.04688344877294e-21,1.40789263145446e-18,"CCN5","8839"
"10024",260.678457832282,1.76830490110669,0.194599833140029,4.38549574629542e-21,1.50325765221177e-18,"TROAP","10024"
"221476",177.753632355004,-3.71300229919105,0.452137718153375,5.35434205456656e-21,1.80875882536075e-18,"PI16","221476"
"2191",492.14687222409,3.74971045584408,0.455178793574231,5.9374085677455e-21,1.97707223293685e-18,"FAP","2191"
"80131",187.848026133248,2.33223601516672,0.266124165710718,9.41077812933605e-21,3.08951869600978e-18,"LRRC8E","80131"
"2110",935.268974045565,-1.01974183134153,0.111110411811766,1.13831041808645e-20,3.6851218798857e-18,"ETFDH","2110"
"541471",578.142140493195,1.92084364266748,0.21754657681645,1.29377306570041e-20,4.13103512170011e-18,"MIR4435-2HG","541471"
"10370",1081.32002541492,-1.30385126724221,0.144625550058148,1.35099582513248e-20,4.25545428216392e-18,"CITED2","10370"
"572558",44.9195758295503,-4.68671651777802,0.569754456264044,1.76453010162111e-20,5.48392428515818e-18,"PGM5-AS1","572558"
"729359",1261.6889495361,-3.69849012813312,0.46884020256233,1.83435758686067e-20,5.62592644633361e-18,"PLIN4","729359"
"8614",241.835132529433,2.72527469743955,0.32103823237671,2.28920216171558e-20,6.92974197239331e-18,"STC2","8614"
"84733",268.587715297786,3.16966393008827,0.385289206177223,3.00641462062797e-20,8.98416902464324e-18,"CBX2","84733"
"8671",4996.3499455815,-3.03042795081686,0.368597745754151,3.48914118261147e-20,1.01660489781864e-17,"SLC4A4","8671"
"56265",171.872293279701,1.8670679257277,0.211478670158037,3.47263676551626e-20,1.01660489781864e-17,"CPXM1","56265"
"5328",1476.95957463396,2.59396757110657,0.307920861683361,3.79171797706756e-20,1.08788306254819e-17,"PLAU","5328"
"6689",703.985668530166,-3.34475174407278,0.412957713786023,3.82712304813383e-20,1.08788306254819e-17,"SPIB","6689"
"10590",132.59058427243,-3.89630441917975,0.495346994731656,4.28234019180295e-20,1.20261527145464e-17,"SCGN","10590"
"84722",144.720414174745,1.70467495809049,0.193847270198887,5.77190537352858e-20,1.60163502799497e-17,"PSRC1","84722"
"101669762",49.0965569463045,3.799588050311,0.458268369524528,7.18406243341213e-20,1.97003895600474e-17,"BLACAT1","101669762"
"387914",121.184546357057,3.23775762467535,0.401017922375583,1.1093718136343e-19,3.0067846051165e-17,"SHISA2","387914"
"222008",160.779574349703,-2.5388592445587,0.301888407977366,1.2505498350097e-19,3.35046736830358e-17,"VSTM2A","222008"
"5354",320.091180387454,-4.42936267585055,0.623827224457799,1.43385370148099e-19,3.79791999179778e-17,"PLP1","5354"
"146909",330.415126527347,1.78982578135675,0.207701752597998,1.91314198706478e-19,5.01049736814528e-17,"KIF18B","146909"
"6584",871.946313916596,-1.48239615686448,0.170842427554873,1.94085035276617e-19,5.02658676362517e-17,"SLC22A5","6584"
"139411",164.413796349841,-3.17543314611522,0.388355027815435,2.05853074263047e-19,5.27277945933777e-17,"PTCHD1","139411"
"10630",608.50781126787,2.54864447033601,0.306453481624511,2.65916101678683e-19,6.7372156674222e-17,"PDPN","10630"
"4884",242.38808578586,-3.94666437821866,0.510188223277593,2.79317492713014e-19,7.00065745983617e-17,"NPTX1","4884"
"54443",1314.95419918552,2.39480086229121,0.288660909213359,3.28413432460779e-19,8.14360499705138e-17,"ANLN","54443"
"6581",539.647791203903,1.94517981275638,0.229357140319848,3.68428816222009e-19,9.03969187086191e-17,"SLC22A3","6581"
