"","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezid","symbol"
"25902",591.066745755907,1.93833368814623,0.266494934335204,3.88568832720571e-15,1.57076968133246e-12,"25902","MTHFD1L"
"23601",60.6083342008262,3.7337133745241,0.563483399350052,8.65494242351122e-15,3.4287419904982e-12,"23601","CLEC5A"
"22802",8338.79192430007,-4.23224576653071,0.815999508114884,1.30403925230055e-14,5.06478617834692e-12,"22802","CLCA4"
"25975",81.2378679317153,3.1484110127488,0.489551302941266,1.56428450624905e-14,5.95872067303484e-12,"25975","EGFL6"
"101669762",54.1034497953474,3.95190786110706,0.592975605955548,1.59622519116866e-14,5.96566577106957e-12,"101669762","BLACAT1"
"28231",1082.32888584082,2.52470387390136,0.371271018075276,2.22857139919807e-14,8.17473005098432e-12,"28231","SLCO4A1"
"6282",3903.83918518425,1.57695069655561,0.220366955732283,2.47684351335769e-14,8.92023932956165e-12,"6282","S100A11"
"56164",48.7060586915284,2.74893289738774,0.406368705778536,3.52076530077374e-14,1.24534498353083e-11,"56164","STK31"
"147111",441.518687518504,4.35389581134922,0.810247966066266,4.02673638400316e-14,1.37519990162646e-11,"147111","NOTUM"
"9075",1212.90166051341,3.89247065321629,0.728983194877633,4.00381299125144e-14,1.37519990162646e-11,"9075","CLDN2"
"23035",1257.9095095197,-1.83786704246321,0.267028735674758,4.1569948965478e-14,1.39562296459015e-11,"23035","PHLPP2"
"51059",33.4001390382039,-3.47100013736242,0.582396017994844,4.40404422885511e-14,1.45392180141937e-11,"51059","FAM135B"
"633",4285.9939140854,2.67023240342167,0.417253199484294,5.03419025078838e-14,1.63470886045273e-11,"633","BGN"
"56902",549.402707940852,1.0052839219428,0.139158633932272,5.2359575905694e-14,1.67280399925804e-11,"56902","PNO1"
"8840",190.110722822821,2.81635039786598,0.440654719968738,6.12163409150313e-14,1.92471949340467e-11,"8840","CCN4"
"1295",551.192618075175,2.79701045252185,0.443402088401064,6.27566483793398e-14,1.94231826734057e-11,"1295","COL8A1"
"57670",356.883593199022,1.6867877854304,0.245301883152366,7.4058878011149e-14,2.2226640237043e-11,"57670","KIAA1549"
"762",3076.82967829774,-3.21834045542452,0.586862689145613,7.85816386034853e-14,2.32320163799677e-11,"762","CA4"
"55532",402.108976162651,-4.08721460649428,0.888996753928327,8.17582086107155e-14,2.38156852376625e-11,"55532","SLC30A10"
"6556",196.158843788346,2.394868584603,0.359966413049246,8.47388650307425e-14,2.41048970558808e-11,"6556","SLC11A1"
"759",9305.48400581749,-4.13131942767581,0.93962919923597,8.51849148784154e-14,2.41048970558808e-11,"759","CA1"
"8140",2128.49288285274,2.30499682247413,0.3462751401502,8.85046347432861e-14,2.46915465492255e-11,"8140","SLC7A5"
"23366",137.066482455077,1.65037684175948,0.243040028235489,1.17692781415461e-13,3.23785918649645e-11,"23366","MATCAP2"
"9509",950.793535270611,2.35154494232006,0.36795186874805,1.82916017094577e-13,4.89621684676942e-11,"9509","ADAMTS2"
"4653",55.0375907818771,-5.07555623162203,0.974602174466958,2.00125717330013e-13,5.28545361183053e-11,"4653","MYOC"
"284346",122.226561919017,-1.62934784003061,0.243498020994281,2.95643299299877e-13,7.50782368273329e-11,"284346","ZNF575"
"4973",118.704923358467,3.1198590773568,0.504361472520776,3.19557772737848e-13,8.0124055220143e-11,"4973","OLR1"
