"",gene_symbol,GSM2440320,GSM2440321,GSM2440322,GSM2440323,GSM2440324,GSM2440325,GSM2440326,GSM2440327,GSM2440328,GSM2440329,GSM2440330,GSM2440331
ENSG00000243989,ACY1,2180.5336,1736.9863,2799.4171,2747.9549,1301.3308,337.5397,2834.0883,7498.0414,12059.9223,3234.339,2371.7375,1773.9266
ENSG00000244005,NFS1,692.3644,1198.7174,324.4223,272.1282,1220.5806,668.3323,481.8598,403.4844,507.9193,430.0248,60.027,62.3454
ENSG00000244020,MT1HL1,0,0,0,0,0,0.9073,0,0,0,0,0,0
ENSG00000244025,KRTAP19-3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000244026,FAM86DP,231.3983,147.9817,160.1106,494.1643,373.3195,245.9621,355.6071,758.1502,520.9049,412.6695,404.7325,206.3306
ENSG00000244038,DDOST,7938.6529,5640.2647,4491.0503,4160.6528,12308.2955,3458.8821,4973.1239,10423.1501,19453.4575,12728.7846,3221.4683,2785.7234
ENSG00000244040,IL12A-AS1,0.976,1.0043,5.0948,7.0762,5.9632,31.2932,1.0128,7.4814,4.003,3.0083,8.5186,3.0373
ENSG00000244041,LINC01011,71.8402,43.9781,44.4036,60.7336,246.9537,44.2409,110.6204,61.8589,63.1963,92.9427,13.8486,18.7417
ENSG00000244045,TMEM199,388.8879,463.8856,289.8233,356.0041,559.3334,319.1844,214.7675,515.5508,1059.2457,387.7117,249.4676,150.5511
ENSG00000244057,LCE3C,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000244067,GSTA2,1.0057,0,0,0,2.0024,0,0,0,0,0,1.9867,0
ENSG00000244094,SPRR2F,0,2.0373,0,0,0.9978,0,0,36.1939,0,0,0,2.0153
ENSG00000244115,DNAJC25-GNG10,34.6512,62.7646,19.9525,21.7558,31.7541,84.3887,5.2364,18.964,47.1252,28.1026,0,32.7012
ENSG00000244122,UGT1A7,1.0131,4.447,34.465,2.0355,3.016,0,11.0237,581.0174,115.9025,170.3745,0.9926,2.9662
ENSG00000244161,LOC105377105,78.4847,35.7605,43.1595,150.6689,43.3822,35.9837,58.0712,131.8644,96.691,87.296,24.718,54.1788
ENSG00000244165,P2RY11,655.7501,563.8279,852.6809,1164.059,488.8216,461.6783,1758.4248,1390.1321,4159.4406,1140.6743,473.5991,563.326
ENSG00000244184,LOC101559451,17.3992,11.8423,8.4239,42.2105,47.8169,2.8801,40.4454,6.0342,16.8603,19.4463,3.0443,2.0563
ENSG00000244187,TMEM141,8078.5652,8716.3149,7539.4724,12771.899,3729.4467,866.2345,9240.8518,21837.0699,26999.0459,35972.828,5417.3254,6923.8051
ENSG00000244203,FOXP1-AS1,9.5003,7.0622,8.1899,8.2888,12.5953,4.5305,9.5667,6.5593,13.7573,8.52,25.784,7.5096
ENSG00000244207,C4A,98.6477,2.5798,2.9696,4.2472,3.2654,18.1945,1.882,39.1107,1.5223,1.4333,5.7946,2.0771
ENSG00000244215,LOC101927123,4.1993,1.101,2.0133,1.8728,2.1774,0,2.5283,2.1208,6.0657,2.1942,4.1603,0
