"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"157777",1827.49586469486,1.05227855126532,0.313994290597895,0.000146370471408301,0.000505957566680274,"MCMDC2"
"85379",1476.58683775243,-0.981249783364253,0.281348813774401,0.000146638460926119,0.000506793970991332,"KIAA1671"
"10561",564.146269113314,1.09487138777118,0.326675067095323,0.000146797800659211,0.000507254642980505,"IFI44"
"203",6060.78086396974,-1.29307821447906,0.420241792142804,0.000146927778564282,0.000507613710757387,"AK1"
"138639",211.668232486798,0.728774760605332,0.203051351004789,0.00014754391443016,0.000509527812284142,"PTPDC1"
"79603",451.223674729023,-1.15538477836544,0.345909245303845,0.000148404060763581,0.000512259674471948,"CERS4"
"2180",1055.81293087201,0.989003967037994,0.295314123923685,0.00014853357819767,0.000512615884352228,"ACSL1"
"166614",123.836674015597,-0.695684668718044,0.194219288919305,0.000149155214561037,0.000514578884601629,"DCLK2"
"101928649",146.152105722754,0.716484506133494,0.200262950595708,0.000149490468230355,0.000515625988317189,"CTC-338M12.4"
"348180",941.819553444276,0.941626393614835,0.272922606325986,0.00014951167938522,0.000515625988317189,"CTU2"
"26973",535.451229149736,0.871512587912511,0.24830873306437,0.000149539293403594,0.000515629911302228,"CHORDC1"
"57614",907.398006190179,-0.748117797652891,0.207111785492313,0.000149608459883495,0.000515777085542761,"RELCH"
"132884",57.3642015495371,-0.709699117362565,0.198510551148047,0.00015007099761869,0.000517280120110439,"EVC2"
"163486",582.220702240487,-0.707465715162722,0.197402501599626,0.00015087379779997,0.000519863271789528,"DENND1B"
"79713",757.927309342557,-1.07775607972959,0.323045736638903,0.000151079096287364,0.000520478577781074,"IGFLR1"
"105378298",19.5973321898837,-0.883252684081532,0.251499197542206,0.00015119092998734,0.000520771730014759,"LOC105378298"
"100505746",93.93488752079,-1.00756691229839,0.29527142633235,0.000151312140873011,0.000521097072237292,"ITGB2-AS1"
"3675",4884.55943150053,-0.666900072068929,0.18564384776238,0.000151743294863409,0.000522489509806382,"ITGA3"
"89795",32.0122523430189,-1.2722707932587,0.394018370277699,0.000151962486903049,0.000523140271842752,"NAV3"
"79612",279.768552331084,0.864815837070874,0.243999048543188,0.000152591004396566,0.0005251298481398,"NAA16"
"91828",617.075755788695,-1.01084300433134,0.304401080338546,0.00015347849426742,0.000528090755451943,"EXOC3L4"
"100505881",170.181615993495,-0.95641968196929,0.282613466518927,0.0001535240749732,0.000528154276647779,"MAGI2-AS3"
"1174",4998.67980085593,0.78274068652535,0.222098869040692,0.0001537909957432,0.000528979096096577,"AP1S1"
"113763",306.755625748743,0.695340145568994,0.19242120540595,0.000153984882328168,0.000529552460416929,"ZBED10P"
"9127",46.4690171989904,-1.36173583079428,0.449697150562214,0.000154692190512475,0.000531703213948192,"P2RX6"
"6098",20.8850309674648,-1.55607560863036,0.500331775443169,0.0001553977641763,0.000534009612012105,"ROS1"
"27330",307.159059782361,-1.43512793117307,0.466198008696362,0.000155418047798953,0.000534009612012105,"RPS6KA6"
"374819",166.879961000912,0.887116732962478,0.254853780457058,0.00015569313300229,0.000534860427803775,"LRRC37A3"
"253012",1498.37343937059,-1.55907773628288,0.573847577551606,0.000155906758433766,0.000535405417121777,"HEPACAM2"
"3620",292.759714358801,1.26344823925788,0.400758849376641,0.000155898809163319,0.000535405417121777,"IDO1"
"27161",1427.84642330563,0.838237700391012,0.237949519096174,0.000157226609471668,0.00053974761492345,"AGO2"
"6990",844.566735552323,0.628390151276719,0.173430842904915,0.000157858529518915,0.00054172596693936,"DYNLT3"
"2894",85.0589591480246,-0.827426500631964,0.237655960393621,0.000158314240922695,0.00054319412296855,"GRID1"
"102723493",21.5721308137978,-1.50768466565796,0.528570831823096,0.00015837421642021,0.000543208500314122,"SMAD3-DT"
"105371062",25.592568151701,1.16486352310525,0.348324674829036,0.00015834694397973,0.000543208500314122,"LOC105371062"
"3696",395.849449968002,0.918650606871634,0.268149192033479,0.000158600135233071,0.000543791836912685,"ITGB8"
"10939",3236.40685240764,-0.672830605826461,0.189257413225893,0.000159049055940973,0.000545139099692089,"AFG3L2"
"51474",4558.56212166666,-0.89350190935158,0.254806671100985,0.000159306733093204,0.000545734147227819,"LIMA1"
"1120",772.964763274073,-0.833744027984023,0.242661371154598,0.000159283912980408,0.000545734147227819,"CHKB"
"107986119",42.6087006044134,0.712345828023232,0.196615044707092,0.000159654049287208,0.000546827754109809,"GSK3B-DT"
"84251",66.873774768971,0.917458608053632,0.270815627187891,0.000159845433338914,0.000547386990377236,"SGIP1"
"643827",35.7995041584737,-1.21643614294989,0.397451141948865,0.000160683131116355,0.000550158927301514,"CNTNAP3P2"
"28455",94.0653614778025,-1.54850564108406,0.52271841368544,0.000160777801320274,0.000550386303517724,"IGHV2-26"
"85450",565.876120212535,0.766397508690432,0.218474790228632,0.00016105540740637,0.00055114286755211,"ITPRIP"
"83700",298.625416636343,-0.713811347895017,0.20287778690497,0.000161105353292122,0.000551216928208726,"JAM3"
"6894",999.365333642369,0.823820125994179,0.234163222052465,0.00016142578201051,0.000552027073977372,"TARBP1"
"6854",32.3892537801377,-1.23648270994524,0.395755720579691,0.000161427172595694,0.000552027073977372,"SYN2"
"28812",2006.08277748021,-1.5091156398896,0.49978337637071,0.000161392240460921,0.000552027073977372,"IGLV2-28"
"11098",2805.57132781699,0.721934373375173,0.202803822755159,0.000161638156520985,0.000552588334978591,"PRSS23"
"102465834",49.3721108582459,-1.63890717250502,0.532387653873377,0.000161648048491555,0.000552588334978591,"MIR7844"
"9401",2858.97736714035,1.19468167998129,0.384166525490091,0.000161907294538775,0.000553377423857959,"RECQL4"
"84634",21.2703377257286,1.56920658043048,0.542580829119947,0.000161941142116119,0.000553395989245732,"KISS1R"
"2625",82.6766298919123,-0.746935813352781,0.209030264431038,0.000162016144137815,0.000553555159137535,"GATA3"
"105372906",22.8967200206157,1.30889277469185,0.425740835188108,0.000162227424651237,0.000554179809697041,"LOC105372906"
"107985729",22.4892195255091,1.02605997422838,0.304960559463804,0.000162431381450395,0.000554779227244203,"LOC107985729"
"9533",1150.70302157571,0.764724967291289,0.220173137718507,0.000162464660580371,0.000554795592635934,"POLR1C"
"105376224",16.3680820927349,1.36715024778257,0.427458940072237,0.000162880553566419,0.000555923375518054,"LOC105376224"
"10360",1002.31642993169,1.08780295324334,0.32173642995452,0.000162868755913157,0.000555923375518054,"NPM3"
"105369865",20.5547884749038,-1.11120237881719,0.331076229210134,0.000162844690430799,0.000555923375518054,"PPP1R12A-AS1"
"10669",1086.26882211404,1.39277670211844,0.492134243908268,0.000164492755024323,0.000561229222862421,"CGREF1"
"102724708",11.7396791214942,-0.831777632989609,0.233760114635909,0.000165051461908252,0.000563036822677036,"ARFGEF1-DT"
"221895",239.53891163144,-0.590525315969105,0.164072966187255,0.000165247578405295,0.000563508420494332,"JAZF1"
"4125",7326.5519886311,-0.797446848851053,0.228448499694973,0.000165229052824539,0.000563508420494332,"MAN2B1"
"100132062",150.199233428051,0.612229299174024,0.167843194746489,0.0001665235752444,0.000567561537956718,"LOC100132062"
"1910",497.469342004364,-1.03753991411001,0.312585425795699,0.000166730485623798,0.000568167315402183,"EDNRB"
"140902",96.5059436695444,1.09451924292949,0.334515883040891,0.000167018426265897,0.000569048959329662,"R3HDML"
"105378626",317.784090151518,0.940260456707005,0.269372552231836,0.000167130364331203,0.000569330740834386,"LOC105378626"
"4644",437.764302062268,-0.964206001010903,0.285339271883186,0.000167511825928008,0.000570530396982855,"MYO5A"
"129807",3222.08034033069,-1.33224345184641,0.444925365667977,0.000167774937727784,0.000571326615185976,"NEU4"
"146225",52.6408447128495,1.52204657216914,0.557950519985092,0.000168170958337175,0.000572548490649997,"CMTM2"
"57719",773.91368469038,0.637767195721726,0.175236478574995,0.000168196230174244,0.000572548490649997,"ANO8"
"8673",8800.91504353139,-1.0936568663987,0.336302982021299,0.000168500384211917,0.00057329576913471,"VAMP8"
"3017",697.11741967635,-0.800340423521347,0.231984522512567,0.000168927943765696,0.0005746500794475,"H2BC5"
"8857",123209.397297866,-1.50748614366252,0.50517499493664,0.000170010018547566,0.000578028126957725,"FCGBP"
"10616",6678.6970008442,0.771146756662892,0.218282930283706,0.000171170555236512,0.000581770778923398,"RBCK1"
"100505758",619.333012169516,0.638034841925153,0.177699043310863,0.00017146595599882,0.000582673092492937,"PRMT5-AS1"
"28380",25.817254975103,-1.88928798184832,0.716614315244045,0.000172676394388081,0.000586377119565453,"IGHV7-56"
"400043",57.5416812628171,-0.981876392241228,0.295184078538802,0.000174132009163184,0.000591217029019005,"LINC02381"
"107985050",305.599571564992,0.802741028265003,0.227118055269952,0.00017439451363736,0.000592005081591003,NA
"3170",1857.33586414751,1.04522423952184,0.305348808827893,0.000174656484297178,0.000592791047697376,"FOXA2"
"147686",26.2052100444865,-1.16919832318507,0.364131734037107,0.000174724074992383,0.000592917121532786,"ZNF418"
"51129",729.849824544696,1.50005882174369,0.601284762781246,0.00017485431010865,0.000593255695011493,"ANGPTL4"
"7425",773.151502752879,1.57419800876094,0.577844097094021,0.00017491698684709,0.000593261636859471,"VGF"
"101928042",21.9319876898738,-0.747339280805787,0.21095042018944,0.000174912591720777,0.000593261636859471,"ARHGAP11A-DT"
"10125",86.1132313958226,-0.895094428347988,0.257709917440548,0.000175037349581649,0.000593566495403555,"RASGRP1"
"115353",748.00019962297,0.589737437516122,0.162473281513672,0.000175766462064012,0.000595831479320564,"LRRC42"
"116064",998.360360112515,0.713331526449379,0.199176855313103,0.000176277062376368,0.000597458369262054,"LRRC58"
"102724826",77.5312158054433,0.711382297830708,0.200181037488251,0.000176558328887977,0.00059830754395221,"ZNF337-AS1"
"81567",5385.37529926321,-0.694520317497759,0.195656667698772,0.000177220379159392,0.000600237718978985,"TXNDC5"
"56942",776.99309564826,0.659804832687471,0.183882858751331,0.000177494032553544,0.000600955543112008,"CMC2"
"84892",418.518410769143,0.723657194092503,0.204202594440925,0.000179484387038446,0.000607578326500324,"POMGNT2"
"65078",367.214509636591,1.11828003662794,0.346622444604169,0.000179639161701642,0.000607901420354383,"RTN4R"
"5493",1038.84366340754,0.885520533378572,0.257032692059644,0.000179820703963046,0.000608410043377402,"PPL"
"8482",350.010812952775,0.932760915517649,0.275620034683083,0.000180083897373846,0.000609194702337267,"SEMA7A"
"6606",548.110427828604,0.627647457582284,0.175476583455712,0.000180217066612634,0.000609438857491861,"SMN1"
"5683",4893.47291082045,0.692252581506951,0.194425137583225,0.000180218658808505,0.000609438857491861,"PSMA2"
"1960",92.276253335326,1.18019544297735,0.365699126253184,0.000180797413282192,0.000611289865220607,"EGR3"
"113218500",27035.8024920584,-0.862301278185157,0.250810112188154,0.000180882477822076,0.00061147131671323,"MIR10393"
"285613",311.13614355861,0.763869059801386,0.215250000422793,0.000181291012897423,0.000612746004195995,"RELL2"
"51692",1231.06160172673,0.633255194215668,0.176361803231052,0.000182167215428773,0.000615493844634862,"CPSF3"
"909",17.2157242500072,1.13430602312839,0.337530875510882,0.000182459273504274,0.000616373694968906,"CD1A"
"9459",400.984168297584,-0.937259612589697,0.272319421017224,0.000182495877172512,0.000616390428015031,"ARHGEF6"
"93654",30.1594253936296,1.22157239638551,0.36889103372327,0.000183067468714031,0.000618213794556225,"ST7-AS2"
"28793",1595.75288666189,-1.43704145042551,0.496467439176066,0.000183266424879562,0.000618778367636872,"IGLV3-25"
"2737",167.630512923907,-1.00192366102996,0.310815491162245,0.000183613299291461,0.000619842087658382,"GLI3"
"7290",1208.09952669708,0.593317600704374,0.163688790729551,0.000184013597616075,0.000621085756251831,"HIRA"
"3642",243.501693429489,-1.67109658516361,0.643318645757139,0.000184054587624389,0.000621116460576151,"INSM1"
"843",1099.4496221978,-0.722997176051177,0.204910296840507,0.00018440410336532,0.000622080359092257,"CASP10"
"55107",741.76782214104,1.15094717203295,0.359223570776505,0.000184385426185385,0.000622080359092257,"ANO1"
"5629",366.41367925294,1.13247197250168,0.337945288027141,0.000186357604651595,0.000628452701400835,"PROX1"
"28825",4323.55402365494,-1.45666191500891,0.525000054669664,0.000186629467215037,0.000629260539129648,"IGLV1-40"
"7145",3293.35863048875,-1.05908552289598,0.332248869980762,0.000186866893433293,0.000629952007895685,"TNS1"
"1471",54658.2707023465,-1.09398371922732,0.339380142309713,0.000187116077847675,0.000630573735262758,"CST3"
"9535",1687.96802698946,-1.23353190888488,0.402221691016792,0.000187764312412453,0.00063253935032564,"GMFG"
"149483",58.6135455408561,-0.882050862973459,0.2571249605013,0.000188133964487552,0.000633675018746985,"CCDC17"
"9938",328.925190523905,-0.724731211956574,0.202976872973074,0.000189031475445793,0.000636477867272961,"ARHGAP25"
"8608",23.183051281178,1.27860370816794,0.412416619255091,0.000189175257723193,0.000636851883173585,"RDH16"
"23404",903.54482564513,0.76260001739829,0.218666362988494,0.000189376861193199,0.000637420389169988,"EXOSC2"
"6692",9549.68272361754,-0.853746188395826,0.256550294940168,0.000189508280358045,0.00063775250733937,"SPINT1"
"1026",6154.90089531817,-0.74192372379908,0.212654526049562,0.000189636268983809,0.000638072967943966,"CDKN1A"
"406934",70.5705144158841,-1.55120062878121,0.566062669439198,0.00019029019990783,0.000640162660771289,"MIR142"
"10951",1342.08234698051,0.629496131291806,0.176868844388848,0.000190674267902292,0.000641343932192941,"CBX1"
"284266",59.0957049144002,1.32206430889705,0.443148592813211,0.000190789287182431,0.000641509214067307,"SIGLEC15"
"57526",162.752372800838,-1.55310489705748,0.589966243558626,0.000190758189531625,0.000641509214067307,"PCDH19"
"7780",81.3884994715905,1.50047869486103,0.559403257077532,0.000191141755959783,0.000642583410550109,"SLC30A2"
"6573",2083.65719338656,0.948478160142923,0.285203129140273,0.000191320059870081,0.000643071827057272,"SLC19A1"
"89839",66.6361767795055,1.04112680597643,0.310584978417584,0.000191785143195608,0.000644519585154374,"ARHGAP11B"
"222658",1420.65975872531,0.691058697875375,0.193476188394901,0.000191988733710966,0.000644809680623462,"KCTD20"
"5046",1122.37331879093,-0.916052033688542,0.270517790387237,0.000192163857884472,0.000645239850396569,"PCSK6"
"101805492",137.796423761272,1.17652833360898,0.354474505849553,0.000192992007873608,0.000647908869735997,"CASC9"
"100506022",15.8460115933382,-0.96640013981494,0.284390424562856,0.000193471039876972,0.000649405119200969,"LINC02606"
"54431",2349.55354892375,0.622829716598821,0.174190805494001,0.000194142446238799,0.000651546465707497,"DNAJC10"
"4524",1058.75649215834,-0.693536949954146,0.198764445249217,0.000196182233966918,0.000658165203532424,"MTHFR"
"26191",159.430383553954,-0.872764895403657,0.255040828624428,0.000196521873332412,0.000659191092516142,"PTPN22"
"4241",4899.28333781744,1.36379205150599,0.473349590592241,0.00019716678238888,0.000661240414503777,"MELTF"
"216",2677.26518978789,-1.067064779856,0.330759301515058,0.000197625400202507,0.000662664371374626,"ALDH1A1"
"785",22.4005681104521,-0.858876699206207,0.251308916361085,0.000198607125677151,0.000665841585911949,"CACNB4"
"653361",836.94236770976,-1.06383516470308,0.321229058803081,0.000199652260743684,0.000669230254386102,"NCF1"
"606724",201.019378047026,-1.45862377402202,0.51363158372732,0.000200086723527986,0.00067057114794485,"LOC606724"
"4939",806.617116271927,0.990546851081242,0.2974246464871,0.00020062220371741,0.000672250071816338,"OAS2"
